Time,GPS_X,GPS_Y,Est_X,Est_Y,Theta
8.256,0.0355477,-1.04447,0.115837,-0.94722,-1.59478
8.32,0.110219,-0.902796,0.115707,-0.947088,-1.59478
8.384,0.138147,-0.889512,0.116136,-0.946756,-1.59478
8.448,0.0772058,-0.801311,0.115338,-0.944667,-1.59478
8.512,0.014901,-0.983624,0.113311,-0.946203,-1.59478
8.576,0.0319444,-0.872077,0.111662,-0.945604,-1.59478
8.64,0.0134812,-0.918659,0.109681,-0.945821,-1.59478
8.704,0.0764677,-0.844438,0.108997,-0.944614,-1.59478
8.768,-0.0442206,-0.892577,0.105913,-0.944393,-1.59478
8.832,0.0980245,-0.910252,0.105737,-0.944467,-1.59478
8.896,0.105776,-0.998192,0.105716,-0.946424,-1.59478
8.96,0.0757944,-1.01853,0.1051,-0.948623,-1.59478
9.024,0.0415293,-0.883127,0.103809,-0.948133,-1.59478
9.088,0.0420377,-0.906242,0.102554,-0.948115,-1.59478
9.152,0.0531193,-0.990876,0.101547,-0.949727,-1.59478
9.216,0.0558475,-0.977845,0.100612,-0.951172,-1.59478
9.28,-0.0545129,-1.00829,0.0974909,-0.953071,-1.59478
9.344,0.0233693,-0.900171,0.0959888,-0.952833,-1.59478
9.408,0.0499611,-0.938253,0.0950486,-0.953361,-1.59478
9.472,-0.0150254,-0.894983,0.092829,-0.952951,-1.59478
9.536,0.0894289,-0.937123,0.0927398,-0.953517,-1.59478
9.6,-0.0283729,-0.912481,0.0902994,-0.953453,-1.59478
9.664,-0.012977,-0.737815,0.0882142,-0.94996,-1.59478
9.728,0.0221545,-0.928092,0.0868733,-0.950343,-1.59478
9.792,-0.070376,-0.965627,0.0837102,-0.951405,-1.59478
9.856,0.0702818,-0.942021,0.0834204,-0.9521,-1.59478
9.92,0.0106763,-0.944575,0.0819474,-0.952707,-1.59478
9.984,0.0891606,-1.0105,0.082072,-0.954682,-1.59478
10.048,0.0982107,-0.856653,0.0823751,-0.953541,-1.59478
10.112,0.103068,-1.0413,0.0827708,-0.956053,-1.59478
10.176,0.0452397,-0.961392,0.081999,-0.957043,-1.59478
10.24,0.0107858,-0.954009,0.0805566,-0.957739,-1.59478
10.304,-0.0523383,-0.941653,0.077879,-0.958237,-1.59478
10.368,-0.00584088,-0.918448,0.076185,-0.958261,-1.59478
10.432,0.0149586,-0.823356,0.0749423,-0.95632,-1.59478
10.496,-0.0630058,-0.942888,0.0721621,-0.956934,-1.59478
10.56,0.0808736,-0.85906,0.0723182,-0.955734,-1.59478
10.624,0.100684,-1.03368,0.0728659,-0.958112,-1.59478
10.688,0.114927,-0.971602,0.0736874,-0.959202,-1.59478
10.752,-0.0509221,-0.967816,0.0711771,-0.960131,-1.59478
10.816,0.0244957,-0.963603,0.0702223,-0.961083,-1.59478
10.88,0.010217,-0.940026,0.069004,-0.961419,-1.59478
10.944,-0.0774449,-1.03265,0.0660553,-0.963663,-1.59478
11.008,0.0473101,-0.891486,0.0656608,-0.96304,-1.59478
11.072,0.044464,-0.920828,0.0652187,-0.962952,-1.59478
11.136,0.0599744,-0.926592,0.0650926,-0.963108,-1.59478
11.2,0.000113777,-1.02027,0.0637749,-0.965008,-1.59478
11.264,0.0466446,-0.879605,0.0634126,-0.96412,-1.59478
11.328,0.0656863,-0.909437,0.0634384,-0.963846,-1.59478
11.392,0.00690922,-0.921463,0.0622897,-0.963755,-1.59478
11.456,0.00349459,-0.808261,0.0610926,-0.961528,-1.59478
11.52,-0.00592591,-0.894646,0.0597341,-0.960947,-1.59478
11.584,-0.0239369,-0.981344,0.058041,-0.962175,-1.59478
11.648,0.00524148,-0.943676,0.0569653,-0.962625,-1.59478
11.712,0.0828954,-0.916753,0.0574658,-0.962464,-1.59478
11.776,0.0213294,-0.884332,0.0567219,-0.961784,-1.59478
11.84,-0.0494755,-0.924425,0.0545798,-0.961794,-1.59478
11.904,0.0448101,-1.02624,0.0543647,-0.963903,-1.59478
11.968,-0.0474369,-0.822291,0.052309,-0.96189,-1.59478
12.032,0.0230655,-0.963389,0.051706,-0.962677,-1.59478
12.096,0.0291295,-0.883729,0.0512333,-0.961981,-1.59478
12.16,0.0338995,-0.918956,0.0508684,-0.961877,-1.59478
12.224,0.0864805,-0.932419,0.051561,-0.962108,-1.59478
12.288,0.0557736,-1.07504,0.0516256,-0.965187,-1.59478
12.352,0.025633,-0.843245,0.0510876,-0.963504,-1.59478
12.416,0.000226966,-1.00284,0.0500492,-0.965174,-1.59478
12.48,-0.0806139,-1.00688,0.0474178,-0.966765,-1.59478
12.544,-0.131148,-0.95708,0.0438268,-0.967391,-1.59478
12.608,0.0892859,-0.937407,0.0447163,-0.967611,-1.59478
12.672,0.0611384,-0.966206,0.0450266,-0.96834,-1.59478
12.736,-0.062502,-0.934475,0.0428548,-0.968546,-1.59478
12.8,0.0113288,-0.854135,0.0422062,-0.967014,-1.59478
12.864,-0.0400828,-0.879394,0.0405407,-0.966082,-1.59478
12.928,0.0105639,-0.923239,0.0399215,-0.966045,-1.59478
12.992,-0.0964273,-0.974673,0.0371764,-0.966974,-1.59478
13.056,-0.0483245,-0.999895,0.0354452,-0.968515,-1.59478
13.12,0.0099272,-0.932091,0.0349167,-0.968544,-1.59478
13.184,-0.0367491,-0.928218,0.0334637,-0.968557,-1.59478
13.248,0.021736,-0.937574,0.0332095,-0.968757,-1.59478
13.312,-0.0562242,-0.930512,0.0314026,-0.968749,-1.59478
13.376,-0.0363906,-0.938041,0.0300256,-0.969018,-1.59478
13.44,-0.0483771,-0.953898,0.0284394,-0.969472,-1.59478
13.504,-0.0236921,-0.882429,0.0273771,-0.968551,-1.59478
13.568,0.0557129,-0.941744,0.0279241,-0.968835,-1.59478
13.632,-0.0148646,-0.861775,0.0270502,-0.96745,-1.59478
13.696,-0.0385131,-0.982184,0.0257178,-0.968628,-1.59478
