Time,StepDist,GPS_X,GPS_Y,Odo_X,Odo_Y,Est_X,Est_Y,rk2_Est_X,rk2_Est_Y,Theta
1.44,0.00186673,-0.508772,-0.793268,-0.708234,-0.567325,-0.565957,-0.696209,-0.565959,-0.696209,1.58996
1.456,0.0019311,-0.478754,-0.722852,-0.708268,-0.565394,-0.564246,-0.69485,-0.564248,-0.69485,1.58816
1.472,0.0019311,-0.445128,-0.759985,-0.708294,-0.563463,-0.56189,-0.69426,-0.561893,-0.69426,1.58456
1.488,0.00186673,-0.405377,-0.829482,-0.708317,-0.561596,-0.558781,-0.695135,-0.558783,-0.695135,1.58275
1.504,0.0019311,-0.463783,-0.828872,-0.708333,-0.559665,-0.556897,-0.695917,-0.5569,-0.695918,1.57914
1.52,0.00186673,-0.500181,-0.725266,-0.708342,-0.557799,-0.555771,-0.694675,-0.555775,-0.694675,1.57553
1.536,0.0019311,-0.620376,-0.711365,-0.708344,-0.555867,-0.557066,-0.693116,-0.557069,-0.693116,1.57192
1.552,0.00186673,-0.446387,-0.767636,-0.708339,-0.554001,-0.554847,-0.692777,-0.554851,-0.692777,1.5683
1.568,0.0019311,-0.420813,-0.771095,-0.708327,-0.55207,-0.552155,-0.692451,-0.552159,-0.692451,1.56469
1.584,0.0019311,-0.397315,-0.843533,-0.708309,-0.550139,-0.54904,-0.693581,-0.549043,-0.693581,1.56107
1.6,0.00186673,-0.509239,-0.686084,-0.708287,-0.548272,-0.548223,-0.691601,-0.548224,-0.691601,1.55925
1.616,0.00186673,-0.397197,-0.845629,-0.708262,-0.546406,-0.545178,-0.692853,-0.54518,-0.692853,1.55742
1.632,0.0019311,-0.444122,-0.745389,-0.708233,-0.544475,-0.543128,-0.692011,-0.54313,-0.692011,1.5556
1.648,0.00186673,-0.538886,-0.808934,-0.708201,-0.542608,-0.543012,-0.69252,-0.543014,-0.69252,1.55379
1.664,0.0019311,-0.331404,-0.756804,-0.708161,-0.540678,-0.538741,-0.691914,-0.538744,-0.691914,1.55018
1.68,0.00186673,-0.458053,-0.750609,-0.708116,-0.538811,-0.537083,-0.691259,-0.537086,-0.691259,1.54657
1.696,0.0019311,-0.523807,-0.74484,-0.708062,-0.536881,-0.536765,-0.690439,-0.536768,-0.690439,1.54295
1.712,0.0019311,-0.327402,-0.770657,-0.708002,-0.534951,-0.532518,-0.690152,-0.532521,-0.690152,1.53933
1.728,0.0019311,-0.455239,-0.895235,-0.70793,-0.533021,-0.530902,-0.692362,-0.530908,-0.692362,1.53393
1.744,0.00186673,-0.528128,-0.644933,-0.707851,-0.531156,-0.53077,-0.689586,-0.530775,-0.689586,1.52852
1.76,0.0019311,-0.540073,-0.816122,-0.707759,-0.529227,-0.530865,-0.690226,-0.530871,-0.690226,1.5231
1.776,0.00186673,-0.408388,-0.695698,-0.70766,-0.527363,-0.528319,-0.688509,-0.528324,-0.688509,1.51768
1.792,0.00186673,-0.485202,-0.736697,-0.707554,-0.525499,-0.527353,-0.687646,-0.527356,-0.687646,1.51404
1.808,0.0019311,-0.395071,-0.75461,-0.707434,-0.523572,-0.524589,-0.687097,-0.524595,-0.687096,1.50862
1.824,0.00186673,-0.437931,-0.777674,-0.707308,-0.521709,-0.522733,-0.687083,-0.522738,-0.687083,1.5032
1.84,0.0019311,-0.440491,-0.757947,-0.707167,-0.519783,-0.52095,-0.686613,-0.520955,-0.686613,1.49778
1.856,0.00186673,-0.444806,-0.785076,-0.707019,-0.517923,-0.519282,-0.686758,-0.519288,-0.686758,1.49146
1.872,0.00186673,-0.512294,-0.737094,-0.706861,-0.516063,-0.518987,-0.685942,-0.518992,-0.685942,1.48604
1.888,0.0019311,-0.377824,-0.761237,-0.706686,-0.514139,-0.515992,-0.685564,-0.515998,-0.685563,1.47973
1.904,0.00186673,-0.559371,-0.838333,-0.706509,-0.512281,-0.516687,-0.686798,-0.51669,-0.686798,1.47608
1.92,0.0019311,-0.598038,-0.732541,-0.706316,-0.51036,-0.518124,-0.68583,-0.518129,-0.685829,1.47066
1.936,0.0019311,-0.405595,-0.784298,-0.706113,-0.508439,-0.515674,-0.685917,-0.515679,-0.685917,1.46524
1.952,0.00186673,-0.424838,-0.778477,-0.705904,-0.506584,-0.513653,-0.68595,-0.513659,-0.68595,1.45893
1.968,0.00186673,-0.356005,-0.785034,-0.705684,-0.504731,-0.510285,-0.686115,-0.510291,-0.686115,1.45261
1.984,0.00186673,-0.408399,-0.777971,-0.705451,-0.502878,-0.508018,-0.686137,-0.508025,-0.686137,1.44541
2,0.00180236,-0.389866,-0.786911,-0.705211,-0.501092,-0.50542,-0.686402,-0.505427,-0.686401,1.43731
2.016,0.00180236,-0.456361,-0.849055,-0.704957,-0.499308,-0.50419,-0.687907,-0.504197,-0.687906,1.42922
